Gender,Age,Education,Field,Computer_Category,Device_Used,User Category,Connectivity_Used,Purpose,Account_Security,Incident_Thinking,Password Storage,Strong_passwords,Physical_Security,Device_Safety,Download_Safety,Comfortablity,Thinking,Agree With,Turnoff Computer,File not Expected,Change Password,Extent U use internet,Internet Usage,Security Knowledge,Similar_Password,Hints,savemypassword_option,Willlingness_toDownload,method_ofSecurity,Security_Break,Check_SWUpdate,Save_SensitiveInfo,Share_PersonalInfo,Cyber_Training,Admin_AsksPassword,Install_FreeSoftware,Talking_To_Stranger,Make_Backups,File_Afraid_ToLose,Location_SecurityExperts,Admin_Moitoring,Recognize_SecurityIssue,Have_SecurityPolicy,Steal_Info,Use_VPN,ScanRemovable_Device,Check_Website_Security,Open_Unknown_links,Firewall_Status,Check_Identity_Talking,Lock_Computer,Use_FlashonMany_Computers,PersonalInfo_AsPassword,Clicking_Advertisement,Share_Information,Open_Unknown_Email,outsource_ITSecurity,Emp_ItSecurityTool_traning,Automated_Tools,Management_Communication
Male,26-34,Master’s degree,Information System,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Private;Wi-Fi;Mobile Data;Public Wi-Fi;Broadband wired connectivity,"Education/ Information seeking;Government service;Social networking like email, Facebook, WhatsApp, telegram",Set strong passwords,Following security policies at our company helps me do my job better,Save it in our mind and remind it later,For some selected sites,CCTV camera,Perform recommended software updates;Set up strong password,I know how to protect against ‘social engineering’ ‘phishing’ and ‘cybercrime’?,Disagree,I do not like to use the Internet for financial transactions,I make sure no one is at my back to view my PIN when making a transaction,Turn off the computer system,Open the file to see what it is.,Sometimes,Use strong passwords;Install applications from genuine sources such as google play store;Shutting down computers when you are away even for short period of time,On frequent basis,Average,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never
Male,26-34,Master’s degree,Computer science and engineering,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Wi-Fi;Mobile Data;Broadband wired connectivity,"Education/ Information seeking;Social networking like email, Facebook, WhatsApp, telegram",Do not save password on web browser cookies;Not share account passwords to any one;Change password regularly;Set strong passwords,I know how to formally report a security incident;Following security policies at our company helps me do my job better,Save it in our smart phone editors,Always,CCTV camera;Manual guard,Install antivirus softwares;Perform recommended software updates;Set up strong password;Do not plugin USB and other devices that I used on multiple computers and systems;Download softwares from genuine sites only,"I only access trusted, reputable sites;Check the security of websites you visited;URL must be “HTTPS” if I am transferring confidential data",Agree,I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I always check my account balance/statemnt to check for any unauthorized transactions;I make sure no one is at my back to view my PIN when making a transaction;When I learn things about security in the office I implement them at home,Turn off the computer system,Delete the file immediately without opening it.,Regularly,Use strong passwords;Refrain from installing unknown applications;Shutting down computers when you are away even for short period of time,On frequent basis,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always
Female,26-34,Master’s degree,Information System,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Smart phone,Frequent user,Wi-Fi,"Social networking like email, Facebook, WhatsApp, telegram",Not share account passwords to any one,Senior leaders at our comapany care about security,Save it in our mind and remind it later,Sometimes,None,Perform recommended software updates;Set up strong password,"I only access trusted, reputable sites",Agree,I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I always check my account balance/statemnt to check for any unauthorized transactions,Turn off the computer system,Open the file to see what it is.,Do not change unless I Forget it,Shutting down computers when you are away even for short period of time,Once/twice per day,Average,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes
Male,26-34,Master’s degree,Computer network and security,"Advanced user (You can install software, setup configurations, etc.)",Laptop,Frequent user,Private;Mobile Data;Public Wi-Fi,"Education/ Information seeking;Social networking like email, Facebook, WhatsApp, telegram",Not share account passwords to any one;Change password regularly;Set strong passwords,Following security policies at our company helps me do my job better,Save it in our mind and remind it later,Sometimes,Manual guard;Danger fence,Install antivirus softwares;Perform recommended software updates;Set up strong password,I know how to protect against ‘social engineering’ ‘phishing’ and ‘cybercrime’?,Disagree,I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I always check my account balance/statemnt to check for any unauthorized transactions;I make sure no one is at my back to view my PIN when making a transaction,Log out of all applications,Open the file to see what it is.,Sometimes,Use strong passwords;Refrain from installing unknown applications;Install applications from genuine sources such as google play store;Shutting down computers when you are away even for short period of time,On frequent basis,Average,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Female,26-34,Master’s degree,Computer science and engineering,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Wi-Fi;Mobile Data;Broadband wired connectivity,"Education/ Information seeking;Social networking like email, Facebook, WhatsApp, telegram",Not share account passwords to any one;Change password regularly;Check for application updates;Set strong passwords,I know how to formally report a security incident,Save it in our mind and remind it later,Always,Manual guard,Perform recommended software updates;Set up strong password;Download softwares from genuine sites only,Check the security of websites you visited,Strongly disagree,I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I make sure no one is at my back to view my PIN when making a transaction,Turn off the computer system,Open the file to see what it is.,Regularly,Use strong passwords,On frequent basis,High,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Sometimes,Always,Never,Always,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Male,26-34,Master’s degree,Computer network and security,"Advanced user (You can install software, setup configurations, etc.)",Laptop,Frequent user,Private;Wi-Fi;Mobile Data;Public Wi-Fi;Broadband wired connectivity,"Education/ Information seeking;Entertainment like gaming;Government service;Social networking like email, Facebook, WhatsApp, telegram",Do not save password on web browser cookies;Not share account passwords to any one;Change password regularly;Set strong passwords,Following security policies at our company helps me do my job better,Save it in our mind and remind it later,Sometimes,CCTV camera,Set up strong password,URL must be “HTTPS” if I am transferring confidential data,Neutral,The information that I keep on my computer is not interesting enough for people to try and hack into my computer,I always check my account balance/statemnt to check for any unauthorized transactions,Log out of all applications,I’ve never done any of these before.,Sometimes,Use strong passwords;Refrain from installing unknown applications;Install applications from genuine sources such as google play store;Shutting down computers when you are away even for short period of time,On frequent basis,Average,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always
Male,26-34,Master’s degree,Computer science and engineering,"Average user (You use word processors, spreadsheets, Email, surf the Web, etc.)",Laptop,Frequent user,Wi-Fi;Mobile Data;Public Wi-Fi,Education/ Information seeking,Set strong passwords,Senior leaders at our comapany care about security,Save it on web browser cookies,Always,CCTV camera,Set up strong password,"I only access trusted, reputable sites",Disagree,The information that I keep on my computer is not interesting enough for people to try and hack into my computer,I make sure no one is at my back to view my PIN when making a transaction,Turn off the computer system,Delete the file immediately without opening it.,Sometimes,Use strong passwords,On frequent basis,Low,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes
Male,26-34,Master’s degree,Computer network and security,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Broadband wired connectivity,"Education/ Information seeking;Online banking;E-commerce;Entertainment like gaming;Government service;Social networking like email, Facebook, WhatsApp, telegram",Not share account passwords to any one;Change password regularly;Check for application updates;Set strong passwords,Senior leaders at our comapany care about security;I know how to formally report a security incident;Following security policies at our company prevents me from doing my job;Following security policies at our company helps me do my job better,Save it in our mind and remind it later,Always,CCTV camera,Install antivirus softwares;Perform recommended software updates;Set up strong password;Do not plugin USB and other devices that I used on multiple computers and systems;Download softwares from genuine sites only,"I only access trusted, reputable sites;Check the security of websites you visited;I know how to protect against ‘social engineering’ ‘phishing’ and ‘cybercrime’?;URL must be “HTTPS” if I am transferring confidential data",Neutral,Sometimes I do not fully realize that I can endanger the system by what I do;The information that I keep on my computer is not interesting enough for people to try and hack into my computer;I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,"when making atransaction, I can share my password with an agent who is assisting me in case I need help.;I always check my account balance/statemnt to check for any unauthorized transactions;I make sure no one is at my back to view my PIN when making a transaction;When I learn things about security in the office I implement them at home",Log out of all applications,Delete the file immediately without opening it.,Regularly,Never think about keeping the device secured,On frequent basis,High,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Always,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always
Male,26-34,Master’s degree,Mathematics (numerical Analysis,"Average user (You use word processors, spreadsheets, Email, surf the Web, etc.)",Laptop,Infrequent user,Wi-Fi,Education/ Information seeking,Not share account passwords to any one,Following security policies at our company prevents me from doing my job,Save it in our mind and remind it later,Always,None,Install antivirus softwares,Check the security of websites you visited,Disagree,I do not like to use the Internet for financial transactions,I always check my account balance/statemnt to check for any unauthorized transactions,Turn off the computer system,Open the file to see what it is.,Sometimes,Shutting down computers when you are away even for short period of time,Once/twice per day,Low,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always
Male,35-45,Master’s degree,Software Engineering ,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Private,"Education/ Information seeking;Social networking like email, Facebook, WhatsApp, telegram",Check for application updates;Set strong passwords,I know how to formally report a security incident,Save it in our mind and remind it later,For some selected sites,Manual guard,Perform recommended software updates;Set up strong password,URL must be “HTTPS” if I am transferring confidential data,Neutral,I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,When I learn things about security in the office I implement them at home,Turn off the computer system,Delete the file immediately without opening it.,Regularly,Install applications from genuine sources such as google play store,On frequent basis,Average,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Always,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Never,Never,Never,Never,Sometimes,Never
Male,26-34,Master’s degree,Information System,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Wi-Fi,Education/ Information seeking,Not share account passwords to any one,Senior leaders at our comapany care about security;Following security policies at our company helps me do my job better,Save it in our mind and remind it later,Always,,Perform recommended software updates;Set up strong password;Do not plugin USB and other devices that I used on multiple computers and systems,"I only access trusted, reputable sites;URL must be “HTTPS” if I am transferring confidential data",Disagree,Sometimes I do not fully realize that I can endanger the system by what I do;I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I always check my account balance/statemnt to check for any unauthorized transactions;I make sure no one is at my back to view my PIN when making a transaction;When I learn things about security in the office I implement them at home,Turn off the computer system,Open the file to see what it is.,Do not change unless I Forget it,Use strong passwords,On frequent basis,Average,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,,No,Yes,No,Yes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Male,26-34,Bachelor’s degree,Information System,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Laptop,Frequent user,Private;Wi-Fi;Mobile Data;Public Wi-Fi;Broadband wired connectivity,"Education/ Information seeking;Online banking;E-commerce;Entertainment like gaming;Government service;Social networking like email, Facebook, WhatsApp, telegram",Do not save password on web browser cookies;Not share account passwords to any one;Check for application updates;Set strong passwords,Senior leaders at our comapany care about security;I know how to formally report a security incident;Following security policies at our company prevents me from doing my job;Following security policies at our company helps me do my job better,Save it in our mind and remind it later,Always,CCTV camera;Manual guard;Danger fence,Install antivirus softwares;Perform recommended software updates;Set up strong password;Do not plugin USB and other devices that I used on multiple computers and systems;Download softwares from genuine sites only,"I only access trusted, reputable sites;Check the security of websites you visited;I know how to protect against ‘social engineering’ ‘phishing’ and ‘cybercrime’?;URL must be “HTTPS” if I am transferring confidential data",Neutral,I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I always check my account balance/statemnt to check for any unauthorized transactions;When I learn things about security in the office I implement them at home,Turn off the computer system,Delete the file immediately without opening it.,Sometimes,Use strong passwords;Refrain from installing unknown applications;Install applications from genuine sources such as google play store;Shutting down computers when you are away even for short period of time,On frequent basis,High,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Always
Female,26-34,Master’s degree,Mathematics (numerical Analysis,"Average user (You use word processors, spreadsheets, Email, surf the Web, etc.)",Smart phone,Frequent user,Mobile Data,"Social networking like email, Facebook, WhatsApp, telegram",Check for application updates,Following security policies at our company prevents me from doing my job,Save it on web browser cookies,For some selected sites,None,Perform recommended software updates,Check the security of websites you visited,Neutral,I do not like to use the Internet for financial transactions,I make sure no one is at my back to view my PIN when making a transaction,Turn off the computer system,Open the file to see what it is.,Do not change unless I Forget it,Install applications from genuine sources such as google play store,Weekly,None,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes
Female,26-34,Master’s degree,Computer networking and communications,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Smart phone,Frequent user,Wi-Fi;Mobile Data,"Education/ Information seeking;Entertainment like gaming;Social networking like email, Facebook, WhatsApp, telegram",Do not save password on web browser cookies,Following security policies at our company helps me do my job better,Save it in our mind and remind it later,For some selected sites,Manual guard,Perform recommended software updates;Set up strong password,Check the security of websites you visited,Neutral,The information that I keep on my computer is not interesting enough for people to try and hack into my computer;I do not like to use the Internet for financial transactions,I make sure no one is at my back to view my PIN when making a transaction,Turn off the monitor only,I’ve never done any of these before.,Do not change unless I Forget it,Use strong passwords;Install applications from genuine sources such as google play store,On frequent basis,Average,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Female,26-34,Bachelor’s degree,Information System,"Advanced user (You can install software, setup configurations, etc.)",Laptop,Frequent user,Wi-Fi;Mobile Data,"Education/ Information seeking;Online banking;Social networking like email, Facebook, WhatsApp, telegram",Do not save password on web browser cookies;Not share account passwords to any one;Change password regularly;Check for application updates;Set strong passwords,I know how to formally report a security incident;Following security policies at our company helps me do my job better,Write on notebook,Always,CCTV camera;Manual guard,Install antivirus softwares;Perform recommended software updates;Set up strong password;Do not plugin USB and other devices that I used on multiple computers and systems;Download softwares from genuine sites only,"I only access trusted, reputable sites;Check the security of websites you visited",Agree,Sometimes I do not fully realize that I can endanger the system by what I do;I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,When I learn things about security in the office I implement them at home,Turn off the computer system,I’ve never done any of these before.,Regularly,Use strong passwords;Refrain from installing unknown applications;Install applications from genuine sources such as google play store;Shutting down computers when you are away even for short period of time,On frequent basis,Average,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Always,Always,Never,Always,Always,Always,Sometimes,Never,Always,Sometimes,Never,Never,Never,Sometimes,Always
Male,26-34,Bachelor’s degree,Computer science and engineering,"Expert user (You can setup operating systems, know some computer programming languages, etc.)",Smart phone,Frequent user,Private;Wi-Fi;Mobile Data;Public Wi-Fi;Broadband wired connectivity,"Education/ Information seeking;Online banking;Social networking like email, Facebook, WhatsApp, telegram",Do not save password on web browser cookies;Not share account passwords to any one;Change password regularly;Check for application updates;Set strong passwords,I know how to formally report a security incident;Following security policies at our company helps me do my job better,Save it in our mind and remind it later,Always,CCTV camera,Perform recommended software updates;Set up strong password;Download softwares from genuine sites only;Don’t take any measure,"I only access trusted, reputable sites;Check the security of websites you visited;I know how to protect against ‘social engineering’ ‘phishing’ and ‘cybercrime’?",Agree,Sometimes I do not fully realize that I can endanger the system by what I do;I understand what information is considered ‘sensitive’ (Confidential and Proprietary)?,I always check my account balance/statemnt to check for any unauthorized transactions;I make sure no one is at my back to view my PIN when making a transaction;When I learn things about security in the office I implement them at home,Turn off the computer system,Delete the file immediately without opening it.,Within a month,Use strong passwords;Shutting down computers when you are away even for short period of time,On frequent basis,High,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Always,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always
